ID,region,DICE,JACC,ACCU,PREC,SENS,SPEC,HAUS,SIZE,model
UCSF_100173_1,NEC,0.22386025768087214,0.12603752528422962,0.9985965501792115,0.22925653387465111,0.2187121762285161,0.9993189261837063,126.31310304160847,7882.0,SegResNet
UCSF_100173_2,EDE,0.08839981775842867,0.04624388435387661,0.983864023297491,0.046666533047388076,0.8362265054471447,0.984002281704646,133.18783728253868,149679.0,SegResNet
UCSF_100173_2,ENH,0.0,0.0,0.9998024193548387,,,0.9998024193548387,,1764.0,SegResNet
UCSF_100173_2,NEC,0.46035768590254145,0.29900300978179084,0.9991652105734767,0.6303787428118184,0.3625684306569343,0.9997910133966691,82.32253640407346,5043.0,SegResNet
UCSF_100174_1,EDE,0.18576015493603792,0.10239007562392548,0.9910527553763441,0.10844907820663882,0.64697529111048,0.9915963982608766,115.61141812122192,84021.0,SegResNet
UCSF_100174_1,ENH,0.2871046228710462,0.16761363636363635,0.9999015456989248,0.5379939209726444,0.19579646017699115,0.9999829731863531,79.86238163240563,329.0,SegResNet
UCSF_100174_1,NEC,0.0,0.0,0.9993614471326165,,,0.9996283729884862,120.17071190602142,3317.0,SegResNet
UCSF_100174_2,EDE,0.28288569560634563,0.16474482501398646,0.9939799507168459,0.17777069743262958,0.6921519979106816,0.9944986269007181,117.53297409663384,59633.0,SegResNet
UCSF_100174_2,ENH,0.36115843270868825,0.2203742203742204,0.9999159946236559,0.36115843270868825,0.36115843270868825,0.9999579945500449,103.860483341837,587.0,SegResNet
UCSF_100174_2,NEC,0.003110419906687403,0.001557632398753894,0.9991384408602151,0.0022205773501110288,0.005190311418685121,0.9993959009098234,86.7179335547152,5404.0,SegResNet
UCSF_100175_1,EDE,0.4495305164319249,0.28993186979560936,0.9966379928315412,0.334671363425357,0.6844250851622271,0.9972654606410954,102.810505299799,36621.0,SegResNet
UCSF_100175_1,ENH,0.0,0.0,0.9998308691756272,,,0.9998308691756272,,1510.0,SegResNet
UCSF_100175_1,NEC,0.580065584612417,0.4085157584226052,0.9982931227598566,0.7404150545198733,0.4768052912929238,0.9995856691376057,69.30367955599472,14215.0,SegResNet
